Date Time,Open,High,Low,Close,Volume,Adj Close
2010-01-04 00:00:00,38.80,39.95,38.80,38.85,17001.40,38.85
2010-01-05 00:00:00,38.83,39.48,38.62,39.10,7176.55,39.10
2010-01-06 00:00:00,39.08,39.08,37.79,37.91,16529.08,37.91
2010-01-07 00:00:00,37.80,37.80,36.80,37.10,13242.81,37.10
2010-01-08 00:00:00,37.00,37.90,37.00,37.72,6544.63,37.72
2010-01-11 00:00:00,38.65,39.10,37.80,38.60,14512.36,38.60
2010-01-12 00:00:00,38.60,42.46,38.31,42.46,50342.53,42.46
2010-01-13 00:00:00,41.90,42.90,41.28,41.63,30283.59,41.63
2010-01-14 00:00:00,41.90,42.89,41.70,42.55,19720.54,42.55
2010-01-15 00:00:00,42.60,42.75,41.52,41.74,11926.67,41.74
2010-01-18 00:00:00,42.00,43.56,41.80,42.66,25082.91,42.66
2010-01-19 00:00:00,42.65,42.79,41.60,41.99,20614.95,41.99
2010-01-20 00:00:00,42.00,43.00,40.75,41.00,17264.00,41.00
2010-01-21 00:00:00,40.99,41.70,40.80,41.14,11125.74,41.14
2010-01-22 00:00:00,40.75,40.75,38.90,39.68,14725.88,39.68
2010-01-25 00:00:00,39.50,39.95,39.00,39.51,5830.67,39.51
2010-01-26 00:00:00,39.60,39.90,37.86,39.18,13623.51,39.18
2010-01-27 00:00:00,38.96,39.68,38.60,39.03,6975.33,39.03
2010-01-28 00:00:00,39.15,40.56,38.64,40.36,11377.56,40.36
2010-01-29 00:00:00,40.50,41.55,40.30,40.70,9024.20,40.70
2010-02-01 00:00:00,40.01,41.05,39.50,41.01,8789.07,41.01
2010-02-02 00:00:00,41.49,41.90,41.10,41.19,8928.04,41.19
2010-02-03 00:00:00,41.10,41.30,39.11,40.68,13845.34,40.68
2010-02-04 00:00:00,40.20,40.67,39.91,40.42,6826.33,40.42
2010-02-05 00:00:00,39.33,40.50,39.33,39.97,7216.17,39.97
2010-02-08 00:00:00,39.95,40.19,39.55,39.80,2703.32,39.80
2010-02-09 00:00:00,39.80,40.10,39.50,39.93,3155.86,39.93
2010-02-10 00:00:00,40.00,40.58,40.00,40.57,3937.58,40.57
2010-02-11 00:00:00,40.50,42.00,40.15,41.31,6956.85,41.31
2010-02-12 00:00:00,41.60,42.00,41.50,41.84,5412.02,41.84
2010-02-22 00:00:00,41.50,41.83,40.65,41.00,3738.67,41.00
2010-02-23 00:00:00,41.00,42.02,41.00,42.00,5795.87,42.00
2010-02-24 00:00:00,42.00,42.80,41.67,42.36,7099.20,42.36
2010-02-25 00:00:00,42.37,42.78,42.08,42.59,6012.17,42.59
2010-02-26 00:00:00,42.17,42.89,42.12,42.40,5702.69,42.40
2010-03-01 00:00:00,42.35,42.78,42.10,42.43,5085.71,42.43
2010-03-02 00:00:00,42.43,42.81,42.20,42.77,6609.30,42.77
2010-03-03 00:00:00,42.85,44.88,42.80,43.78,13627.10,43.78
2010-03-04 00:00:00,43.64,43.64,42.05,42.20,11493.11,42.20
2010-03-05 00:00:00,41.99,42.49,40.93,41.64,11669.59,41.64
2010-03-08 00:00:00,41.35,41.89,41.35,41.51,6628.71,41.51
2010-03-09 00:00:00,41.51,41.93,41.30,41.74,3379.52,41.74
2010-03-10 00:00:00,41.60,41.88,41.00,41.18,4492.09,41.18
2010-03-11 00:00:00,41.26,41.81,40.42,40.83,5628.93,40.83
2010-03-12 00:00:00,40.88,40.95,40.39,40.64,4298.02,40.64
2010-03-15 00:00:00,40.60,41.73,40.50,40.87,6317.74,40.87
2010-03-16 00:00:00,41.05,41.50,40.92,41.49,2958.57,41.49
2010-03-17 00:00:00,41.59,41.98,41.30,41.94,5052.89,41.94
2010-03-18 00:00:00,41.98,42.12,41.31,41.46,5008.10,41.46
2010-03-19 00:00:00,41.74,41.75,40.80,41.08,5569.07,41.08
2010-03-22 00:00:00,41.07,41.27,40.73,41.15,4794.52,41.15
2010-03-23 00:00:00,41.12,41.27,40.40,40.45,7005.42,40.45
2010-03-24 00:00:00,40.50,41.20,40.50,40.85,4816.13,40.85
2010-03-25 00:00:00,40.80,42.21,40.73,41.59,18239.73,41.59
2010-03-26 00:00:00,41.70,41.85,40.60,40.75,15571.47,40.75
2010-03-29 00:00:00,39.30,39.49,38.38,39.28,45360.44,39.28
2010-03-30 00:00:00,39.20,39.20,38.14,38.57,27376.07,38.57
2010-03-31 00:00:00,38.45,39.00,37.90,38.72,23555.70,38.72
2010-04-01 00:00:00,38.70,38.70,38.21,38.52,27713.46,38.52
2010-04-02 00:00:00,38.60,38.88,38.50,38.62,13469.47,38.62
2010-04-06 00:00:00,38.78,39.53,38.75,39.52,30469.27,39.52
2010-04-07 00:00:00,39.68,39.95,39.34,39.87,19644.84,39.87
2010-04-08 00:00:00,39.87,40.14,39.70,39.98,21215.08,39.98
2010-04-09 00:00:00,39.99,41.65,39.60,41.49,39459.44,41.49
2010-04-12 00:00:00,41.50,42.67,40.95,42.48,25515.87,42.48
2010-04-13 00:00:00,42.44,42.44,40.01,41.28,17808.84,41.28
2010-04-14 00:00:00,41.28,41.50,40.60,40.98,10639.89,40.98
2010-04-15 00:00:00,40.99,41.28,40.00,40.13,11143.58,40.13
2010-04-16 00:00:00,40.07,40.78,39.70,39.89,8217.66,39.89
2010-04-19 00:00:00,39.71,41.30,39.60,39.92,18193.20,39.92
2010-04-20 00:00:00,39.56,42.28,39.20,41.94,30303.97,41.94
2010-04-21 00:00:00,42.00,43.59,41.94,42.97,30417.34,42.97
2010-04-22 00:00:00,43.26,43.49,42.00,42.16,16809.57,42.16
2010-04-23 00:00:00,42.17,42.80,41.34,41.90,11404.12,41.90
2010-04-26 00:00:00,41.50,42.28,41.30,41.88,8147.92,41.88
2010-04-27 00:00:00,41.84,42.80,41.30,42.79,11342.77,42.79
2010-04-28 00:00:00,42.50,42.76,41.88,42.27,7322.06,42.27
2010-04-29 00:00:00,42.30,42.40,41.30,41.39,8781.95,41.39
2010-04-30 00:00:00,41.20,41.28,37.28,40.20,20726.91,40.20
2010-05-04 00:00:00,38.58,40.26,38.08,40.22,11518.84,40.22
2010-05-05 00:00:00,39.20,41.00,39.20,40.67,6280.45,40.67
