,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000909.SZ,20221230,7.89,8.02,7.8,7.98,7.85,0.13,1.6561,74109.65,58848.213
1,000909.SZ,20221229,8.0,8.03,7.83,7.85,8.03,-0.18,-2.2416,56878.0,45209.268
2,000909.SZ,20221228,8.08,8.1,7.94,8.03,8.13,-0.1,-1.23,65736.55,52679.485
3,000909.SZ,20221227,8.17,8.17,8.03,8.13,8.15,-0.02,-0.2454,65967.89,53410.237
4,000909.SZ,20221226,7.94,8.16,7.9,8.15,7.96,0.19,2.3869,74449.01,60269.959
5,000909.SZ,20221223,7.93,8.08,7.88,7.96,7.93,0.03,0.3783,66202.64,52771.097
6,000909.SZ,20221222,8.14,8.18,7.91,7.93,8.06,-0.13,-1.6129,82365.23,66319.57
7,000909.SZ,20221221,8.32,8.32,8.04,8.06,8.32,-0.26,-3.125,79100.17,64371.218
8,000909.SZ,20221220,8.28,8.36,8.1,8.32,8.28,0.04,0.4831,63675.99,52724.641
9,000909.SZ,20221219,8.34,8.46,8.22,8.28,8.35,-0.07,-0.8383,86874.24,72209.805
10,000909.SZ,20221216,8.62,8.65,8.34,8.35,8.61,-0.26,-3.0197,120166.0,101595.96
11,000909.SZ,20221215,8.62,8.64,8.5,8.61,8.58,0.03,0.3497,83351.87,71554.829
12,000909.SZ,20221214,8.81,8.89,8.52,8.58,8.98,-0.4,-4.4543,192988.19,168191.572
13,000909.SZ,20221213,9.2,9.29,8.98,8.98,9.0,-0.02,-0.2222,170110.29,155377.676
14,000909.SZ,20221212,8.84,9.01,8.74,9.0,8.87,0.13,1.4656,93957.4,83744.622
15,000909.SZ,20221209,9.03,9.08,8.86,8.87,8.99,-0.12,-1.3348,126450.86,112875.603
16,000909.SZ,20221208,9.13,9.14,8.92,8.99,9.1,-0.11,-1.2088,138826.83,125181.356
17,000909.SZ,20221207,9.3,9.3,9.06,9.1,9.3,-0.2,-2.1505,149250.28,136194.137
18,000909.SZ,20221206,9.5,9.51,9.21,9.3,9.51,-0.21,-2.2082,181649.48,168878.5
19,000909.SZ,20221205,9.43,9.68,9.4,9.51,9.54,-0.03,-0.3145,233903.25,222600.306
20,000909.SZ,20221202,9.41,9.64,9.2,9.54,9.3,0.24,2.5806,295134.19,279938.832
21,000909.SZ,20221201,9.26,9.44,9.21,9.3,9.25,0.05,0.5405,214160.59,199647.882
22,000909.SZ,20221130,9.59,9.66,9.2,9.25,9.53,-0.28,-2.9381,311356.07,293906.38
23,000909.SZ,20221129,9.36,9.55,9.14,9.53,9.02,0.51,5.6541,336084.74,314764.976
24,000909.SZ,20221128,9.0,9.12,8.32,9.02,9.24,-0.22,-2.381,180947.57,161992.053
25,000909.SZ,20221125,9.08,9.48,9.08,9.24,9.12,0.12,1.3158,222381.9,206336.853
26,000909.SZ,20221124,9.07,9.4,9.07,9.12,9.0,0.12,1.3333,230622.96,212928.224
27,000909.SZ,20221123,9.24,9.34,8.9,9.0,9.33,-0.33,-3.537,219263.48,198358.166
28,000909.SZ,20221122,9.53,9.62,9.21,9.33,9.62,-0.29,-3.0146,236427.39,221926.464
29,000909.SZ,20221121,9.31,9.69,9.14,9.62,9.51,0.11,1.1567,305955.15,289525.499
30,000909.SZ,20221118,10.0,10.01,9.45,9.51,10.08,-0.57,-5.6548,447928.43,434290.042
31,000909.SZ,20221117,9.99,10.2,9.89,10.08,10.24,-0.16,-1.5625,432109.89,432679.849
32,000909.SZ,20221116,9.64,10.49,9.54,10.24,9.64,0.6,6.2241,708512.99,709419.036
33,000909.SZ,20221115,9.47,10.26,9.35,9.64,9.61,0.03,0.3122,569003.17,553084.196
34,000909.SZ,20221114,9.35,9.61,9.16,9.61,9.25,0.36,3.8919,524390.13,493740.966
35,000909.SZ,20221111,9.16,9.45,9.0,9.25,8.98,0.27,3.0067,461128.62,426289.597
36,000909.SZ,20221110,8.9,9.15,8.87,8.98,9.01,-0.03,-0.333,231411.94,208960.54
37,000909.SZ,20221109,9.06,9.38,9.0,9.01,9.15,-0.14,-1.5301,320555.96,292356.923
38,000909.SZ,20221108,9.2,9.56,9.11,9.15,9.06,0.09,0.9934,461467.2,430042.057
39,000909.SZ,20221107,8.96,9.15,8.94,9.06,9.06,0.0,0.0,281267.81,254395.764
