,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600698.SH,20221230,4.65,4.7,4.63,4.65,4.64,0.01,0.2155,50619.0,23561.986
1,600698.SH,20221229,4.72,4.72,4.63,4.64,4.64,0.0,0.0,44794.97,20886.47
2,600698.SH,20221228,4.78,4.78,4.63,4.64,4.76,-0.12,-2.521,57661.96,27009.869
3,600698.SH,20221227,4.84,4.84,4.69,4.76,4.81,-0.05,-1.0395,83381.0,39474.181
4,600698.SH,20221226,4.65,4.92,4.63,4.81,4.69,0.12,2.5586,88647.1,42449.858
5,600698.SH,20221223,4.78,4.82,4.69,4.69,4.82,-0.13,-2.6971,85498.35,40581.372
6,600698.SH,20221222,4.86,4.93,4.81,4.82,4.88,-0.06,-1.2295,60488.0,29388.803
7,600698.SH,20221221,4.99,5.0,4.83,4.88,5.0,-0.12,-2.4,67867.0,33251.144
8,600698.SH,20221220,4.9,5.0,4.73,5.0,4.87,0.13,2.6694,120523.95,58991.896
9,600698.SH,20221219,4.86,4.92,4.82,4.87,4.85,0.02,0.4124,69841.15,33917.239
10,600698.SH,20221216,4.98,4.98,4.83,4.85,5.02,-0.17,-3.3865,114094.0,55864.78
11,600698.SH,20221215,4.97,5.02,4.91,5.02,4.98,0.04,0.8032,90336.0,44885.081
12,600698.SH,20221214,4.94,5.05,4.93,4.98,4.96,0.02,0.4032,94235.01,47085.164
13,600698.SH,20221213,4.93,5.05,4.91,4.96,4.94,0.02,0.4049,105517.1,52599.809
14,600698.SH,20221212,5.07,5.09,4.94,4.94,5.14,-0.2,-3.8911,188565.0,94064.379
15,600698.SH,20221209,5.18,5.21,5.1,5.14,5.28,-0.14,-2.6515,202291.16,104097.5
16,600698.SH,20221208,5.09,5.54,5.08,5.28,5.15,0.13,2.5243,322261.56,172450.675
17,600698.SH,20221207,5.23,5.26,5.09,5.15,5.26,-0.11,-2.0913,176395.01,90783.47
18,600698.SH,20221206,5.26,5.32,5.2,5.26,5.35,-0.09,-1.6822,154531.6,80960.228
19,600698.SH,20221205,5.32,5.45,5.26,5.35,5.25,0.1,1.9048,290771.91,156000.047
20,600698.SH,20221202,5.21,5.4,5.14,5.25,5.24,0.01,0.1908,239641.73,125666.034
21,600698.SH,20221201,5.42,5.52,5.2,5.24,5.4,-0.16,-2.963,354526.17,187579.765
22,600698.SH,20221130,5.12,5.64,5.05,5.4,5.13,0.27,5.2632,539785.09,288780.202
23,600698.SH,20221129,5.09,5.14,5.03,5.13,5.14,-0.01,-0.1946,187701.93,95636.393
24,600698.SH,20221128,5.03,5.17,4.96,5.14,5.07,0.07,1.3807,231019.71,117412.916
25,600698.SH,20221125,5.04,5.19,5.02,5.07,5.09,-0.02,-0.3929,294145.9,149942.471
26,600698.SH,20221124,5.2,5.2,5.02,5.09,5.3,-0.21,-3.9623,549158.73,279570.501
